source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Stanford Medicine,https://boards.greenhouse.io/stanfordmedicine,404,HTTP 404 (board not found),greenhouse:stanfordmedicine,2026-02-16T03:56:26.889615+00:00,2026-02-16T03:56:26.889615+00:00
dead_confirmed,greenhouse,Stardog,https://boards.greenhouse.io/stardog,404,HTTP 404 (board not found),greenhouse:stardog,2026-02-16T03:56:27.112690+00:00,2026-02-16T03:56:27.112690+00:00
dead_confirmed,greenhouse,Star Therapeutics,https://boards.greenhouse.io/startherapeutics,404,HTTP 404 (board not found),greenhouse:startherapeutics,2026-02-16T03:56:27.289986+00:00,2026-02-16T03:56:27.289986+00:00
dead_confirmed,greenhouse,Stash,https://boards.greenhouse.io/stash,404,HTTP 404 (board not found),greenhouse:stash,2026-02-16T03:56:27.497784+00:00,2026-02-16T03:56:27.497784+00:00
dead_confirmed,greenhouse,State Farm,https://boards.greenhouse.io/statefarm,404,HTTP 404 (board not found),greenhouse:statefarm,2026-02-16T03:56:27.601285+00:00,2026-02-16T03:56:27.601285+00:00
dead_confirmed,greenhouse,StateTree,https://boards.greenhouse.io/statetree,404,HTTP 404 (board not found),greenhouse:statetree,2026-02-16T03:56:27.792609+00:00,2026-02-16T03:56:27.792609+00:00
dead_confirmed,greenhouse,StatMuse,https://boards.greenhouse.io/statmuse,404,HTTP 404 (board not found),greenhouse:statmuse,2026-02-16T03:56:27.907151+00:00,2026-02-16T03:56:27.907151+00:00
dead_confirmed,greenhouse,Stax,https://boards.greenhouse.io/stax,404,HTTP 404 (board not found),greenhouse:stax,2026-02-16T03:56:28.005105+00:00,2026-02-16T03:56:28.005105+00:00
dead_confirmed,greenhouse,Stellantis,https://boards.greenhouse.io/stellantis,404,HTTP 404 (board not found),greenhouse:stellantis,2026-02-16T03:56:28.100716+00:00,2026-02-16T03:56:28.100716+00:00
dead_confirmed,greenhouse,Stellar,https://boards.greenhouse.io/stellar,404,HTTP 404 (board not found),greenhouse:stellar,2026-02-16T03:56:28.268950+00:00,2026-02-16T03:56:28.268950+00:00
dead_confirmed,greenhouse,Steno,https://boards.greenhouse.io/steno,404,HTTP 404 (board not found),greenhouse:steno,2026-02-16T03:56:28.386259+00:00,2026-02-16T03:56:28.386259+00:00
dead_confirmed,greenhouse,Stepful,https://boards.greenhouse.io/stepful,404,HTTP 404 (board not found),greenhouse:stepful,2026-02-16T03:56:28.498475+00:00,2026-02-16T03:56:28.498475+00:00
dead_confirmed,greenhouse,SThree,https://boards.greenhouse.io/sthree,404,HTTP 404 (board not found),greenhouse:sthree,2026-02-16T03:56:28.599306+00:00,2026-02-16T03:56:28.599306+00:00
dead_confirmed,greenhouse,Story,https://boards.greenhouse.io/story,404,HTTP 404 (board not found),greenhouse:story,2026-02-16T03:56:29.147452+00:00,2026-02-16T03:56:29.147452+00:00
dead_confirmed,greenhouse,Stratio,https://boards.greenhouse.io/stratio,404,HTTP 404 (board not found),greenhouse:stratio,2026-02-16T03:56:29.316754+00:00,2026-02-16T03:56:29.316754+00:00
